time,event_id,source_event_id,element_name,element_type,event_type,item,reason
2025-07-03 13:12:36.458323358 UTC,SRC_000567,SRC_000566,Source,DiscreteSource,ProcessFinish,"{""id"":228}",
2025-07-03 13:12:36.458323358 UTC,SRC_000568,SRC_000567,Source,DiscreteSource,ProcessStart,"{""id"":229}",
2025-07-03 13:16:13.794276250 UTC,P2_001738,P2_001731,Process2,DiscreteParallelProcess,ProcessFinish,"{""id"":217}",
2025-07-03 13:16:13.794276250 UTC,P2_001739,P2_001738,Process2,DiscreteParallelProcess,WithdrawRequest,,
2025-07-03 13:16:13.794276251 UTC,SNK_000718,Q3_000859,Sink,DiscreteSink,WithdrawRequest,,
2025-07-03 13:16:13.794276251 UTC,SNK_000719,SNK_000718,Sink,DiscreteSink,ProcessStart,"{""id"":217}",
2025-07-03 13:16:13.794276251 UTC,P2_001740,Q3_000859,Process2,DiscreteParallelProcess,WithdrawRequest,,
2025-07-03 13:16:13.794276252 UTC,P2_001741,Q3_000861,Process2,DiscreteParallelProcess,WithdrawRequest,,
2025-07-03 13:20:29.709641676 UTC,P2_001742,P2_001739,Process2,DiscreteParallelProcess,ProcessFinish,"{""id"":218}",
2025-07-03 13:20:29.709641676 UTC,P2_001743,P2_001742,Process2,DiscreteParallelProcess,WithdrawRequest,,
2025-07-03 13:20:29.709641677 UTC,P2_001744,Q3_000863,Process2,DiscreteParallelProcess,WithdrawRequest,,
2025-07-03 13:22:45.933341516 UTC,P1_000665,P1_000664,Process1,DiscreteProcess,ProcessFinish,"{""id"":219}",
2025-07-03 13:22:45.933341516 UTC,P1_000666,P1_000665,Process1,DiscreteProcess,WithdrawRequest,,
2025-07-03 13:22:45.933341516 UTC,P1_000667,P1_000666,Process1,DiscreteProcess,ProcessStart,"{""id"":220}",
2025-07-03 13:22:45.933341517 UTC,P2_001745,Q2_001963,Process2,DiscreteParallelProcess,WithdrawRequest,,
2025-07-03 13:22:45.933341517 UTC,P2_001746,P2_001745,Process2,DiscreteParallelProcess,ProcessStart,"{""id"":219}",
2025-07-03 13:22:45.933341517 UTC,P2_001747,P2_001746,Process2,DiscreteParallelProcess,WithdrawRequest,,
2025-07-03 13:22:45.933341518 UTC,P2_001748,Q2_001966,Process2,DiscreteParallelProcess,WithdrawRequest,,
2025-07-03 13:27:36.458323358 UTC,SRC_000569,SRC_000568,Source,DiscreteSource,ProcessFinish,"{""id"":229}",
2025-07-03 13:27:36.458323358 UTC,SRC_000570,SRC_000569,Source,DiscreteSource,ProcessStart,"{""id"":230}",
2025-07-03 13:31:13.794276251 UTC,SNK_000720,SNK_000719,Sink,DiscreteSink,ProcessFinish,"{""id"":217}",
2025-07-03 13:31:13.794276251 UTC,SNK_000721,SNK_000720,Sink,DiscreteSink,WithdrawRequest,,
2025-07-03 13:31:13.794276251 UTC,SNK_000722,SNK_000721,Sink,DiscreteSink,ProcessStart,"{""id"":218}",
2025-07-03 13:31:13.794276252 UTC,P2_001749,Q3_000865,Process2,DiscreteParallelProcess,WithdrawRequest,,
