time,event_id,source_event_id,element_name,element_type,event_type,total,inflows,outflows,reason
2025-01-01 00:01:13.000000001 UTC,_000068,_000067,Process,VectorProcess,ProcessStart,1.0,"[{""x"":0.09999999999999992,""y"":0.3999999999999997,""z"":0.5000000000000002}]",,
2025-01-01 00:01:14 UTC,_000147,_000146,Source,VectorSource,ProcessSuccess,1.0,,"[{""x"":0.1,""y"":0.4,""z"":0.5}]",
2025-01-01 00:01:14 UTC,_000148,_000147,Source,VectorSource,ProcessStart,1.0,"[{""x"":0.1,""y"":0.4,""z"":0.5}]",,
2025-01-01 00:01:14.000000001 UTC,_000069,_000143,Process,VectorProcess,ProcessSuccess,0.9999999999999998,,"[{""x"":0.09999999999999992,""y"":0.3999999999999997,""z"":0.5000000000000002}]",
2025-01-01 00:01:14.000000001 UTC,_000070,_000069,Process,VectorProcess,WithdrawRequest,,,,
2025-01-01 00:01:14.000000001 UTC,_000071,_000070,Process,VectorProcess,ProcessStart,1.0,"[{""x"":0.09999999999999992,""y"":0.3999999999999997,""z"":0.5000000000000002}]",,
2025-01-01 00:01:15 UTC,_000149,_000148,Source,VectorSource,ProcessSuccess,1.0,,"[{""x"":0.1,""y"":0.4,""z"":0.5}]",
2025-01-01 00:01:15 UTC,_000150,_000149,Source,VectorSource,ProcessStart,1.0,"[{""x"":0.1,""y"":0.4,""z"":0.5}]",,
2025-01-01 00:01:15.000000001 UTC,_000072,_000147,Process,VectorProcess,ProcessSuccess,0.9999999999999998,,"[{""x"":0.09999999999999992,""y"":0.3999999999999997,""z"":0.5000000000000002}]",
2025-01-01 00:01:15.000000001 UTC,_000073,_000072,Process,VectorProcess,WithdrawRequest,,,,
2025-01-01 00:01:15.000000001 UTC,_000074,_000073,Process,VectorProcess,ProcessStart,1.0,"[{""x"":0.09999999999999992,""y"":0.3999999999999997,""z"":0.5000000000000002}]",,
2025-01-01 00:01:16 UTC,_000151,_000150,Source,VectorSource,ProcessSuccess,1.0,,"[{""x"":0.1,""y"":0.4,""z"":0.5}]",
2025-01-01 00:01:16 UTC,_000152,_000151,Source,VectorSource,ProcessStart,1.0,"[{""x"":0.1,""y"":0.4,""z"":0.5}]",,
2025-01-01 00:01:16.000000001 UTC,_000075,_000151,Process,VectorProcess,ProcessSuccess,0.9999999999999998,,"[{""x"":0.09999999999999992,""y"":0.3999999999999997,""z"":0.5000000000000002}]",
2025-01-01 00:01:16.000000001 UTC,_000076,_000075,Process,VectorProcess,WithdrawRequest,,,,
2025-01-01 00:01:16.000000001 UTC,_000077,_000076,Process,VectorProcess,ProcessStart,1.0,"[{""x"":0.09999999999999992,""y"":0.3999999999999997,""z"":0.5000000000000002}]",,
2025-01-01 00:01:17 UTC,_000153,_000152,Source,VectorSource,ProcessSuccess,1.0,,"[{""x"":0.1,""y"":0.4,""z"":0.5}]",
2025-01-01 00:01:17 UTC,_000154,_000153,Source,VectorSource,ProcessStart,1.0,"[{""x"":0.1,""y"":0.4,""z"":0.5}]",,
2025-01-01 00:01:17.000000001 UTC,_000078,_000155,Process,VectorProcess,ProcessSuccess,0.9999999999999998,,"[{""x"":0.09999999999999992,""y"":0.3999999999999997,""z"":0.5000000000000002}]",
2025-01-01 00:01:17.000000001 UTC,_000079,_000078,Process,VectorProcess,WithdrawRequest,,,,
2025-01-01 00:01:17.000000001 UTC,_000080,_000079,Process,VectorProcess,ProcessStart,1.0,"[{""x"":0.09999999999999992,""y"":0.3999999999999997,""z"":0.5000000000000002}]",,
2025-01-01 00:01:18 UTC,_000155,_000154,Source,VectorSource,ProcessSuccess,1.0,,"[{""x"":0.1,""y"":0.4,""z"":0.5}]",
2025-01-01 00:01:18 UTC,_000156,_000155,Source,VectorSource,ProcessStart,1.0,"[{""x"":0.1,""y"":0.4,""z"":0.5}]",,
2025-01-01 00:01:18.000000001 UTC,_000081,_000159,Process,VectorProcess,ProcessSuccess,0.9999999999999998,,"[{""x"":0.09999999999999992,""y"":0.3999999999999997,""z"":0.5000000000000002}]",
2025-01-01 00:01:18.000000001 UTC,_000082,_000081,Process,VectorProcess,WithdrawRequest,,,,
2025-01-01 00:01:18.000000001 UTC,_000083,_000082,Process,VectorProcess,ProcessStart,1.0,"[{""x"":0.09999999999999992,""y"":0.3999999999999997,""z"":0.5000000000000002}]",,
2025-01-01 00:01:19 UTC,_000157,_000156,Source,VectorSource,ProcessSuccess,1.0,,"[{""x"":0.1,""y"":0.4,""z"":0.5}]",
2025-01-01 00:01:19 UTC,_000158,_000157,Source,VectorSource,ProcessStart,1.0,"[{""x"":0.1,""y"":0.4,""z"":0.5}]",,
2025-01-01 00:01:19.000000001 UTC,_000084,_000163,Process,VectorProcess,ProcessSuccess,0.9999999999999998,,"[{""x"":0.09999999999999992,""y"":0.3999999999999997,""z"":0.5000000000000002}]",
2025-01-01 00:01:19.000000001 UTC,_000085,_000084,Process,VectorProcess,WithdrawRequest,,,,
