time,event_id,element_name,element_type,event_type,truck_id,total,fe,other_elements,fe_%,magnetite,hematite,limonite,message
2025-05-01 00:12:03.700134837 UTC,PR-DUMPMOV_000053,dumped_truck_movements,DumpedTruckMovements,WithdrawRequest,,,,,,,,,
2025-05-01 00:12:03.700134837 UTC,PR-DUMPING_000042,dumping_process,DumpingProcess,ProcessFailure,,,,,,,,,Upstream truck stock is empty or not connected
2025-05-01 00:12:04.110517085 UTC,PR-LOADMOV_000065,loaded_truck_movements,LoadedTruckMovements,TruckMovementSuccess,Truck_02,,,,,,,,
2025-05-01 00:12:04.110517085 UTC,PR-LOADMOV_000066,loaded_truck_movements,LoadedTruckMovements,WithdrawRequest,,,,,,,,,
2025-05-01 00:12:04.110517086 UTC,PR-DUMPING_000043,dumping_process,DumpingProcess,WithdrawRequest,,,,,,,,,
2025-05-01 00:12:04.110517086 UTC,PR-LOADMOV_000067,loaded_truck_movements,LoadedTruckMovements,WithdrawRequest,,,,,,,,,
2025-05-01 00:12:04.110517086 UTC,PR-DUMPING_000044,dumping_process,DumpingProcess,ProcessStart,Truck_02,5.0,3.0,2.0,0.6,0.5,0.25,0.75,
2025-05-01 00:12:04.110517087 UTC,PR-LOADMOV_000068,loaded_truck_movements,LoadedTruckMovements,WithdrawRequest,,,,,,,,,
2025-05-01 00:12:04.637789322 UTC,PR-DUMPING_000045,dumping_process,DumpingProcess,ProcessSuccess,Truck_02,5.0,3.0,2.0,0.6,0.5,0.25,0.75,
2025-05-01 00:12:04.637789322 UTC,PR-DUMPING_000046,dumping_process,DumpingProcess,ProcessFailure,,,,,,,,,Upstream truck stock is empty or not connected
2025-05-01 00:12:04.637789323 UTC,PR-DUMPMOV_000054,dumped_truck_movements,DumpedTruckMovements,WithdrawRequest,,,,,,,,,
2025-05-01 00:12:04.637789323 UTC,PR-DUMPING_000047,dumping_process,DumpingProcess,ProcessFailure,,,,,,,,,Upstream truck stock is empty or not connected
2025-05-01 00:12:04.637789323 UTC,PR-DUMPMOV_000055,dumped_truck_movements,DumpedTruckMovements,TruckMovementStart,Truck_02,,,,,,,,
2025-05-01 00:12:04.637789323 UTC,PR-DUMPMOV_000056,dumped_truck_movements,DumpedTruckMovements,WithdrawRequest,,,,,,,,,
2025-05-01 00:12:04.637789324 UTC,PR-DUMPMOV_000057,dumped_truck_movements,DumpedTruckMovements,WithdrawRequest,,,,,,,,,
2025-05-01 00:12:04.637789324 UTC,PR-DUMPING_000048,dumping_process,DumpingProcess,ProcessFailure,,,,,,,,,Upstream truck stock is empty or not connected
2025-05-01 00:12:10.965056150 UTC,PR-DUMPMOV_000058,dumped_truck_movements,DumpedTruckMovements,TruckMovementSuccess,Truck_02,,,,,,,,
2025-05-01 00:12:10.965056150 UTC,PR-DUMPMOV_000059,dumped_truck_movements,DumpedTruckMovements,WithdrawRequest,,,,,,,,,
2025-05-01 00:12:10.965056151 UTC,PR-DUMPMOV_000060,dumped_truck_movements,DumpedTruckMovements,WithdrawRequest,,,,,,,,,
2025-05-01 00:12:10.965056151 UTC,PR-LOADING_000048,loading_process,LoadingProcess,WithdrawRequest,,,,,,,,,
2025-05-01 00:12:10.965056151 UTC,PR-LOADING_000049,loading_process,LoadingProcess,ProcessStart,Truck_02,5.0,3.0,2.0,0.6,0.5,0.25,0.75,
2025-05-01 00:12:10.965056152 UTC,PR-DUMPMOV_000061,dumped_truck_movements,DumpedTruckMovements,WithdrawRequest,,,,,,,,,
